county,state_group,program_status,anchor_industry,year,employment_raw,employment,treated,post_policy,treated_x_post,portal_note,brief_title,brief_url
"Beaver County, PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,2018,27.0 thousand,27000,0,0,0,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Beaver County, PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,2019,26.5k,26500,0,0,0,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Beaver County, PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,2020,25.3 K,25300,0,0,0,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Beaver County, PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,2021,"25,821",25821,0,0,0,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Beaver County, PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,2022,"26,053 jobs",26053,0,1,0,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Beaver County, PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,2023,~26.4k,26400,0,1,0,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Beaver County, PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,2024,26.6 thousand,26600,0,1,0,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Beaver County, PA",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,2025,26.9k,26900,0,1,0,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Erie County, PA",Pennsylvania benchmark district,Comparison Area,Machine shops,2018,"30,860",30860,0,0,0,Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Erie County, PA",Pennsylvania benchmark district,Comparison Area,Machine shops,2019,"30,327 jobs",30327,0,0,0,Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Erie County, PA",Pennsylvania benchmark district,Comparison Area,Machine shops,2020,~29.2k,29200,0,0,0,Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Erie County, PA",Pennsylvania benchmark district,Comparison Area,Machine shops,2021,29.7 thousand,29700,0,0,0,Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Erie County, PA",Pennsylvania benchmark district,Comparison Area,Machine shops,2022,29.9k,29900,0,1,0,Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Erie County, PA",Pennsylvania benchmark district,Comparison Area,Machine shops,2023,30.2 K,30200,0,1,0,Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Erie County, PA",Pennsylvania benchmark district,Comparison Area,Machine shops,2024,"30,402",30402,0,1,0,Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Erie County, PA",Pennsylvania benchmark district,Comparison Area,Machine shops,2025,"30,634 jobs",30634,0,1,0,Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Lawrence County, PA",Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,2018,"17,285",17285,0,0,0,Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Lawrence County, PA",Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,2019,"16,821 jobs",16821,0,0,0,Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Lawrence County, PA",Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,2020,~15.7k,15700,0,0,0,Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Lawrence County, PA",Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,2021,16.2 thousand,16200,0,0,0,Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Lawrence County, PA",Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,2022,16.4k,16400,0,1,0,Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Lawrence County, PA",Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,2023,16.7 K,16700,0,1,0,Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Lawrence County, PA",Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,2024,"16,926",16926,0,1,0,Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Lawrence County, PA",Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,2025,"17,167 jobs",17167,0,1,0,Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Lucas County, OH",Ohio funded corridor,AI Grant County,Auto parts and machining,2018,"32,620",32620,1,0,0,2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Lucas County, OH",Ohio funded corridor,AI Grant County,Auto parts and machining,2019,"32,055 jobs",32055,1,0,0,2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Lucas County, OH",Ohio funded corridor,AI Grant County,Auto parts and machining,2020,~30.9k,30900,1,0,0,2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Lucas County, OH",Ohio funded corridor,AI Grant County,Auto parts and machining,2021,31.4 thousand,31400,1,0,0,2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Lucas County, OH",Ohio funded corridor,AI Grant County,Auto parts and machining,2022,33.4k,33400,1,1,1,2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Lucas County, OH",Ohio funded corridor,AI Grant County,Auto parts and machining,2023,34.6 K,34600,1,1,1,2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Lucas County, OH",Ohio funded corridor,AI Grant County,Auto parts and machining,2024,"36,645",36645,1,1,1,2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Lucas County, OH",Ohio funded corridor,AI Grant County,Auto parts and machining,2025,"39,500 jobs",39500,1,1,1,2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
